Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
ca_cave,707,372,0.55966667,0.57770000,4.02513333,5.16250000,155.12666667,26.42666667,73.51666667,25673,0.06792831,0.41622257,0.48415089
ca_cavern1_haunted,2668,1484,0.40778378,0.50676577,3.89693694,4.81148649,233.61261261,29.21621622,63.90000000,122638,0.23888016,1.98826408,2.22714424
ca_caverns1,2676,1489,0.49506726,0.59239462,4.00142601,5.08888789,187.31928251,27.42197309,72.41255605,125462,0.24457169,2.03404808,2.27861977
ca_caverns1_mines,2654,1473,0.45491818,0.55823636,3.50967273,4.52282727,153.70681818,27.52181818,73.09181818,120796,0.23724747,1.95840073,2.19564819
ca_caverns2,1937,1045,0.40169863,0.49691781,3.61501370,4.51363014,158.53082192,30.78698630,70.28424658,82269,0.17416763,1.33378315,1.50795078
ca_caverns2prc,1507,825,0.36205128,0.44020513,2.82325641,3.62551282,137.28397436,23.81217949,43.81730769,61229,0.14775467,0.99267292,1.14042759
dr_0_deeproads,2522,1328,0.45029589,0.55313973,3.27080000,4.27423562,140.24000000,24.46301370,18.49397260,156483,0.38371658,2.53697491,2.92069149
dr_dungeon,864,359,0.35538947,0.40147368,3.07541053,3.83227368,148.34421053,22.88000000,93.78736842,53977,0.13741684,0.87510014,1.01251698
dr_primevalentrance,536,274,0.36253333,0.37382222,2.80184444,3.53820000,121.14888889,24.37222222,57.23888889,21998,0.06180954,0.35664177,0.41845131
dr_primevaltomb,1424,691,0.44438494,0.55347280,3.76768201,4.76553975,153.25146444,26.95355649,45.63472803,87148,0.22039413,1.41288376,1.63327789
dr_slavers,728,293,0.32509474,0.36709474,2.52734737,3.21953684,115.97578947,20.04210526,99.88210526,49137,0.13924789,0.79663181,0.93587971
ht_0_hightown,1408,679,0.38945865,0.46718797,4.71009023,5.56673684,311.60601504,27.63834586,262.41879699,224815,0.42085266,3.64480495,4.06565762
ht_0_hightown_a2,1428,690,0.38591111,0.46920000,3.98948148,4.84459259,206.23703704,25.26074074,253.46074074,212563,0.42111206,3.44616985,3.86728191
ht_0_hightown_a3,1440,696,0.38941985,0.46957252,4.18786260,5.04685496,223.73893130,26.46106870,309.67175573,224010,0.43005371,3.63175392,4.06180763
ht_0_hightown_n,1420,682,0.41098507,0.51546269,5.28425373,6.21070149,343.45223881,28.36492537,236.63059701,222012,0.42437744,3.59936142,4.02373886
ht_bartrand_n,1096,565,0.38510345,0.43306897,3.80513793,4.62331034,202.45000000,33.43620690,150.23448276,39848,0.09487915,0.64603424,0.74091339
ht_brothel_n,846,432,0.37929630,0.45300000,5.51748148,6.34977778,320.75185185,44.00000000,148.70185185,32913,0.07418823,0.53360081,0.60778904
ht_chantry,510,271,0.38072340,0.45719149,4.87451064,5.71242553,235.42553191,34.03404255,120.80851064,24353,0.06043243,0.39482212,0.45525455
ht_chantry_n,500,267,0.33238298,0.39548936,4.64497872,5.37285106,254.55744681,36.96170213,141.87659574,23787,0.05818939,0.38564587,0.44383526
ht_keep,788,396,0.38637500,0.45330000,4.42452500,5.26420000,231.83750000,30.90750000,174.79500000,41626,0.09807205,0.67486000,0.77293205
ht_keep_n,782,394,0.34782500,0.40957500,4.06665000,4.82405000,229.22125000,31.20875000,174.08375000,41621,0.09785843,0.67477894,0.77263737
ht_mansion2,1339,671,0.33857692,0.46269231,3.53200000,4.33326923,179.31346154,27.09519231,160.02884615,80547,0.17087936,1.30586529,1.47674465
ht_mansion2b,1352,698,0.35680392,0.49880392,3.94094118,4.79654902,208.60000000,28.13823529,141.56960784,76895,0.17490768,1.24665737,1.42156506
ht_mansion_n,956,491,0.37376271,0.44108475,4.48335593,5.29820339,254.17288136,35.49830508,116.68813559,36829,0.08634949,0.59708881,0.68343830
ht_playershouse_n,226,109,0.29689474,0.32410526,2.94936842,3.57036842,151.30000000,27.36052632,32.23947368,5404,0.01760483,0.08761215,0.10521698
ht_store,42,19,0.24314286,0.29542857,1.33514286,1.87371429,56.28571429,13.94285714,6.22857143,425,0.00199890,0.00689030,0.00888920
lt_0_lowtown,1854,905,0.41600000,0.46132800,3.90112000,4.77844800,205.22320000,27.77040000,211.90880000,145154,0.30490112,2.35330391,2.65820503
lt_0_lowtown_a2,1820,895,0.43660800,0.47123200,4.15676800,5.06460800,205.73280000,29.56080000,190.60400000,141657,0.30093384,2.29660892,2.59754276
lt_0_lowtown_a2_n,1952,954,0.45375806,0.51812903,4.85551613,5.82740323,267.40483871,31.66451613,258.62741935,164574,0.32832336,2.66814995,2.99647331
lt_0_lowtown_a2_n_c,2151,1057,0.46160317,0.57014286,5.45157143,6.48331746,304.48968254,36.09761905,158.33571429,183284,0.34835815,2.97148514,3.31984329
lt_0_lowtown_a3_n_c,2170,1068,0.40053968,0.48704762,4.62776190,5.51534921,254.49761905,35.40714286,231.91666667,178479,0.33763123,2.89358425,3.23121548
lt_0_lowtown_docks,1571,710,0.45337864,0.49539806,4.58227184,5.53104854,273.77475728,30.21262136,164.41650485,118167,0.26463318,1.91577816,2.18041134
lt_0_lowtown_docks_a3,1175,501,0.44307692,0.45155769,3.83986538,4.73450000,183.01250000,27.95192308,125.55096154,80311,0.20663452,1.30203915,1.50867367
lt_0_lowtown_docks_a3_n,1175,501,0.41190385,0.43934615,3.86686538,4.71811538,188.00288462,28.92211538,129.74134615,80311,0.20663452,1.30203915,1.50867367
lt_0_lowtown_docks_n,1571,710,0.46578641,0.49182524,4.61553398,5.57314563,278.16213592,30.83398058,156.50388350,118167,0.26463318,1.91577816,2.18041134
lt_0_lowtown_n,1826,890,0.50004800,0.59032000,4.50715200,5.59752000,206.65360000,28.14320000,195.63280000,140502,0.29914856,2.27788353,2.57703209
lt_backalley_g,400,189,0.33651163,0.36827907,3.31051163,4.01530233,152.98837209,27.33023256,105.44651163,18340,0.05505371,0.29733658,0.35239029
lt_backalley_n,400,189,0.36181395,0.41609302,3.77897674,4.55688372,160.21627907,28.20697674,111.26744186,18340,0.05505371,0.29733658,0.35239029
lt_darktown,839,450,0.40353846,0.45116484,3.57648352,4.43118681,172.82087912,27.86923077,104.61978022,39518,0.10221481,0.64068413,0.74289894
lt_foundry_n,270,147,0.29977358,0.34886792,2.58222642,3.23086792,139.56792453,25.40566038,24.01132075,7523,0.02226639,0.12196636,0.14423275
lt_gallowscourtyard,753,336,0.38516000,0.43354000,4.49406000,5.31276000,220.18500000,29.27000000,279.06200000,85300,0.21488953,1.38292313,1.59781265
lt_gallowscourtyard_n,346,147,0.50489189,0.40940541,5.26275676,6.17705405,244.16891892,35.72297297,251.34189189,40052,0.11421204,0.64934158,0.76355362
lt_gallowsprison_n,156,71,0.41505882,0.37405882,2.81882353,3.60794118,85.55882353,21.12941176,79.67941176,5700,0.01906967,0.09241104,0.11148071
lt_gallowstemplar,593,287,0.43154839,0.45154839,3.90183871,4.78493548,204.82741935,26.46290323,170.85483871,37478,0.08755112,0.60761070,0.69516182
lt_gallowstemplar_f,704,356,0.36254839,0.40841935,3.90945161,4.68041935,220.56290323,30.53064516,174.42096774,40742,0.09211349,0.66052818,0.75264168
lt_gallowstemplar_n,587,280,0.40209677,0.43767742,3.81787097,4.65764516,198.94838710,26.04677419,171.11612903,37050,0.08675766,0.60067177,0.68742943
lt_gamlenshouse_n,122,68,0.39200000,0.38846154,3.47446154,4.25492308,145.68461538,28.30769231,51.73076923,1962,0.00831985,0.03180885,0.04012871
lt_hangedman,655,346,0.35281481,0.41303704,4.54307407,5.30892593,248.48703704,37.58148148,77.79074074,23399,0.05445862,0.37935543,0.43381405
lt_hangedman_n,655,346,0.33811111,0.41192593,4.38592593,5.13596296,241.39814815,36.92407407,74.77037037,23399,0.05445862,0.37935543,0.43381405
lt_house,118,58,0.45871429,0.55014286,5.97514286,6.98400000,167.49285714,33.54285714,37.94285714,1567,0.00548935,0.02540493,0.03089428
lt_ruinedhouse_n,104,56,0.28906667,0.27520000,1.58986667,2.15413333,77.78000000,18.70666667,13.76666667,1405,0.00580215,0.02277851,0.02858067
lt_shop,122,62,0.29654545,0.29981818,2.65418182,3.25054545,143.05454545,26.86363636,24.65454545,1755,0.00667191,0.02845287,0.03512478
lt_undercitydungeon,592,309,0.34564706,0.39245098,2.97470588,3.71280392,154.38823529,24.28627451,81.85196078,31622,0.07130051,0.51267052,0.58397102
lt_undercityencounter,385,213,0.27958974,0.36392308,2.82176923,3.46528205,147.69230769,24.65641026,44.07435897,17505,0.05152512,0.28379917,0.33532429
lt_undercityserialkiller,749,388,0.34893617,0.40444681,4.07457447,4.82795745,228.62340426,32.58829787,153.75106383,44298,0.09045029,0.71817970,0.80862999
lt_warehouse,363,184,0.33360870,0.37078261,4.45069565,5.15508696,276.29130435,35.90000000,93.89565217,14849,0.04005432,0.24073887,0.28079319
lt_warehouse_n,361,182,0.32886957,0.37095652,4.27886957,4.97869565,269.71739130,35.40434783,122.80869565,15159,0.04124451,0.24576473,0.28700924
w_blightlands,1869,1101,0.48864865,0.54983784,6.80162162,7.84010811,438.41396396,46.47567568,160.20045045,247731,0.31983948,4.01632977,4.33616924
w_bonepit,1486,872,0.54107273,0.51594545,6.14127273,7.19829091,368.24181818,44.79000000,413.64727273,155133,0.26502991,2.51508808,2.78011799
w_bonepitdestroyed_a3,2031,1124,0.56926316,0.52833918,5.82316959,6.92077193,378.35672515,35.66315789,418.57836257,291609,0.45440674,4.72770023,5.18210697
w_bonepitmining_a2,1561,865,0.50691892,0.50893694,7.12198198,8.13783784,517.32522523,48.39009009,434.67297297,169432,0.25854492,2.74691010,3.00545502
w_encounter1,780,456,0.51105085,0.44905085,6.36728814,7.32738983,460.90508475,47.57457627,294.07627119,67197,0.10127258,1.08942890,1.19070148
w_encounter2,1711,954,0.57743860,0.53470175,6.00545614,7.11759649,386.67807018,38.38684211,535.07192982,365782,0.49119568,5.93022728,6.42142296
w_encounter2_camp,1770,987,0.77690909,0.73955372,8.29753719,9.81400000,419.14132231,41.92644628,538.42892562,380573,0.48719788,6.17002583,6.65722370
w_encounter3,913,533,0.51415556,0.50775556,6.16477778,7.18668889,365.82111111,45.91777778,162.01000000,79571,0.11758423,1.29004192,1.40762615
w_sundermount,3645,2110,0.55595210,0.62574850,7.48482635,8.66652695,522.60059880,43.53053892,399.81976048,495797,0.70106506,8.03809071,8.73915577
w_woundedcoast,4596,2629,0.49748598,0.60757009,5.59156075,6.69661682,310.25140187,40.17336449,230.69859813,430519,0.58976746,6.97977352,7.56954098
